ID,distance,treatment,cover,row,pattern,day
p1s1,71.35503486,control,100,one,one,1
p1s2,73.70930063,control,100,one,one,1
p1s3,46.20888443,control,100,one,one,1
p1s4,25.64412213,control,100,one,one,1
p1s5,79.83496101,control,100,one,one,1
p1s6,96.81642939,control,100,one,one,1
p1s7,48.17157876,control,100,one,one,1
p1s8,59.60571281,control,100,one,one,1
p1s9,18.94732171,control,100,one,one,1
p1s10,23.91361537,control,100,one,one,1
p1s11,NA,control,100,one,one,1
p1s12,52.33718563,control,100,one,one,1
p1s1,54.87863336,control,100,one,one,2
p1s2,122.3715817,control,100,one,one,2
p1s3,53.16013544,control,100,one,one,2
p1s4,50.009999,control,100,one,one,2
p1s5,21.26029163,control,100,one,one,2
p1s6,26.07680962,control,100,one,one,2
p1s7,NA,control,100,one,one,2
p1s8,71.55417528,control,100,one,one,2
p1s9,65.59332283,control,100,one,one,2
p1s10,27.18491493,control,100,one,one,2
p1s11,NA,control,100,one,one,2
p1s12,23.0864549,control,100,one,one,2
p1s1,46.70566989,control,100,one,one,3
p1s2,29.41088234,control,100,one,one,3
p1s3,15.8113883,control,100,one,one,3
p1s4,6.708203932,control,100,one,one,3
p1s5,16.4924225,control,100,one,one,3
p1s6,55.7227458,control,100,one,one,3
p1s7,NA,control,100,one,one,3
p1s8,9.38,control,100,one,one,3
p1s9,3.16227766,control,100,one,one,3
p1s10,5.385164807,control,100,one,one,3
p1s11,NA,control,100,one,one,3
p1s12,29.68164416,control,100,one,one,3
p1s1,22.01872839,control,100,one,one,4
p1s2,16.1245155,control,100,one,one,4
p1s3,1.414213562,control,100,one,one,4
p1s4,25.94647568,control,100,one,one,4
p1s5,8.602325267,control,100,one,one,4
p1s6,22.90161566,control,100,one,one,4
p1s7,NA,control,100,one,one,4
p1s8,18.62322206,control,100,one,one,4
p1s9,10.63014581,control,100,one,one,4
p1s10,15.65247584,control,100,one,one,4
p1s11,NA,control,100,one,one,4
p1s12,23.94367557,control,100,one,one,4
p1s1,18.02775638,control,100,one,one,5
p1s2,5.385164807,control,100,one,one,5
p1s3,4.242640687,control,100,one,one,5
p1s4,24.18677324,control,100,one,one,5
p1s5,6,control,100,one,one,5
p1s6,42.8179822,control,100,one,one,5
p1s7,NA,control,100,one,one,5
p1s8,53.87415336,control,100,one,one,5
p1s9,5.099019514,control,100,one,one,5
p1s10,33.3626198,control,100,one,one,5
p1s11,NA,control,100,one,one,5
p1s12,7,control,100,one,one,5
p1s1,NA,control,100,one,one,6
p1s2,2.828427125,control,100,one,one,6
p1s3,5,control,100,one,one,6
p1s4,27.78488798,control,100,one,one,6
p1s5,7.211102551,control,100,one,one,6
p1s6,13.15294644,control,100,one,one,6
p1s7,NA,control,100,one,one,6
p1s8,5,control,100,one,one,6
p1s9,5.385164807,control,100,one,one,6
p1s10,15.65247584,control,100,one,one,6
p1s11,NA,control,100,one,one,6
p1s12,4,control,100,one,one,6
p1s1,NA,control,100,one,one,7
p1s2,5,control,100,one,one,7
p1s3,2.236067977,control,100,one,one,7
p1s4,10,control,100,one,one,7
p1s5,8.062257748,control,100,one,one,7
p1s6,7.810249676,control,100,one,one,7
p1s7,NA,control,100,one,one,7
p1s8,7.071067812,control,100,one,one,7
p1s9,6,control,100,one,one,7
p1s10,3,control,100,one,one,7
p1s11,NA,control,100,one,one,7
p1s12,5,control,100,one,one,7
p1s1,0,control,100,one,one,8
p1s2,10.29563014,control,100,one,one,8
p1s3,6.32455532,control,100,one,one,8
p1s4,16.55294536,control,100,one,one,8
p1s5,9.433981132,control,100,one,one,8
p1s6,13.60147051,control,100,one,one,8
p1s7,NA,control,100,one,one,8
p1s8,5,control,100,one,one,8
p1s9,4.123105626,control,100,one,one,8
p1s10,5.099019514,control,100,one,one,8
p1s11,NA,control,100,one,one,8
p1s12,4.472135955,control,100,one,one,8
p1s1,3.605551275,control,100,one,one,9
p1s2,4.123105626,control,100,one,one,9
p1s3,4.472135955,control,100,one,one,9
p1s4,7.071067812,control,100,one,one,9
p1s5,4.123105626,control,100,one,one,9
p1s6,20,control,100,one,one,9
p1s7,NA,control,100,one,one,9
p1s8,4.242640687,control,100,one,one,9
p1s9,3,control,100,one,one,9
p1s10,5,control,100,one,one,9
p1s11,NA,control,100,one,one,9
p1s12,11,control,100,one,one,9
p1s1,8.246211251,control,100,one,one,10
p1s2,1.414213562,control,100,one,one,10
p1s3,3.605551275,control,100,one,one,10
p1s4,5,control,100,one,one,10
p1s5,3.605551275,control,100,one,one,10
p1s6,3.605551275,control,100,one,one,10
p1s7,NA,control,100,one,one,10
p1s8,5.830951895,control,100,one,one,10
p1s9,5,control,100,one,one,10
p1s10,10.44030651,control,100,one,one,10
p1s11,NA,control,100,one,one,10
p1s12,6.403124237,control,100,one,one,10
p2s1,20.93325106,exposed,100,one,one,1
p2s2,20.81348121,exposed,100,one,one,1
p2s3,4.679850425,exposed,100,one,one,1
p2s4,4.081788824,exposed,100,one,one,1
p2s5,11.08426813,exposed,100,one,one,1
p2s6,3.842004685,exposed,100,one,one,1
p2s7,30.6036109,exposed,100,one,one,1
p2s8,28.17553904,exposed,100,one,one,1
p2s9,18.07265891,exposed,100,one,one,1
p2s10,8.06480006,exposed,100,one,one,1
p2s11,31.58672189,exposed,100,one,one,1
p2s12,16.69014679,exposed,100,one,one,1
p2s1,6.403124237,exposed,100,one,one,2
p2s2,13,exposed,100,one,one,2
p2s3,9.433981132,exposed,100,one,one,2
p2s4,10.77032961,exposed,100,one,one,2
p2s5,8.062257748,exposed,100,one,one,2
p2s6,6.08276253,exposed,100,one,one,2
p2s7,13.89244399,exposed,100,one,one,2
p2s8,13.15294644,exposed,100,one,one,2
p2s9,10,exposed,100,one,one,2
p2s10,7.211102551,exposed,100,one,one,2
p2s11,16.97056275,exposed,100,one,one,2
p2s12,2.236067977,exposed,100,one,one,2
p2s1,6.08276253,exposed,100,one,one,3
p2s2,14,exposed,100,one,one,3
p2s3,5.830951895,exposed,100,one,one,3
p2s4,6.08276253,exposed,100,one,one,3
p2s5,6,exposed,100,one,one,3
p2s6,6.08276253,exposed,100,one,one,3
p2s7,11.22515033,exposed,100,one,one,3
p2s8,13,exposed,100,one,one,3
p2s9,19.79898987,exposed,100,one,one,3
p2s10,9.055385138,exposed,100,one,one,3
p2s11,20.84619869,exposed,100,one,one,3
p2s12,5.385164807,exposed,100,one,one,3
p2s1,3.605551275,exposed,100,one,one,4
p2s2,25,exposed,100,one,one,4
p2s3,31.04834939,exposed,100,one,one,4
p2s4,15.13274595,exposed,100,one,one,4
p2s5,5.385164807,exposed,100,one,one,4
p2s6,19.02629759,exposed,100,one,one,4
p2s7,24.57812035,exposed,100,one,one,4
p2s8,39.35733731,exposed,100,one,one,4
p2s9,2.236067977,exposed,100,one,one,4
p2s10,6.32455532,exposed,100,one,one,4
p2s11,33.03095518,exposed,100,one,one,4
p2s12,7.071067812,exposed,100,one,one,4
p2s1,6.32455532,exposed,100,one,one,5
p2s2,21.58703314,exposed,100,one,one,5
p2s3,5,exposed,100,one,one,5
p2s4,23.64115902,exposed,100,one,one,5
p2s5,9.219544457,exposed,100,one,one,5
p2s6,5.656854249,exposed,100,one,one,5
p2s7,10.63014581,exposed,100,one,one,5
p2s8,7.071067812,exposed,100,one,one,5
p2s9,36.03532156,exposed,100,one,one,5
p2s10,6.08276253,exposed,100,one,one,5
p2s11,9.219544457,exposed,100,one,one,5
p2s12,5.830951895,exposed,100,one,one,5
p2s1,7.280109889,exposed,100,one,one,6
p2s2,5.385164807,exposed,100,one,one,6
p2s3,4.472135955,exposed,100,one,one,6
p2s4,2.828427125,exposed,100,one,one,6
p2s5,7.071067812,exposed,100,one,one,6
p2s6,5,exposed,100,one,one,6
p2s7,9.219544457,exposed,100,one,one,6
p2s8,4.242640687,exposed,100,one,one,6
p2s9,4.242640687,exposed,100,one,one,6
p2s10,7.071067812,exposed,100,one,one,6
p2s11,9.219544457,exposed,100,one,one,6
p2s12,5.099019514,exposed,100,one,one,6
p2s1,7.071067812,exposed,100,one,one,7
p2s2,7,exposed,100,one,one,7
p2s3,10.29563014,exposed,100,one,one,7
p2s4,20.14,exposed,100,one,one,7
p2s5,6.403124237,exposed,100,one,one,7
p2s6,6.403124237,exposed,100,one,one,7
p2s7,8.94427191,exposed,100,one,one,7
p2s8,4,exposed,100,one,one,7
p2s9,6.32455532,exposed,100,one,one,7
p2s10,6.32455532,exposed,100,one,one,7
p2s11,19.78230522,exposed,100,one,one,7
p2s12,5.830951895,exposed,100,one,one,7
p2s1,6,exposed,100,one,one,8
p2s2,2.236067977,exposed,100,one,one,8
p2s3,4.123105626,exposed,100,one,one,8
p2s4,22.26880329,exposed,100,one,one,8
p2s5,11.66190379,exposed,100,one,one,8
p2s6,4.242640687,exposed,100,one,one,8
p2s7,7.071067812,exposed,100,one,one,8
p2s8,6.708203932,exposed,100,one,one,8
p2s9,6.403124237,exposed,100,one,one,8
p2s10,1,exposed,100,one,one,8
p2s11,10.50259016,exposed,100,one,one,8
p2s12,7.071067812,exposed,100,one,one,8
p2s1,5,exposed,100,one,one,9
p2s2,16.15549442,exposed,100,one,one,9
