ID,Day,Plot,Active.,Height,treatment,cover,row
p1s1,1,Plot1,Y,0,control,100,one
p1s2,1,Plot1,Y,0,control,100,one
p1s3,1,Plot1,Y,0,control,100,one
p1s4,1,Plot1,Y,0,control,100,one
p1s5,1,Plot1,Y,1,control,100,one
p1s6,1,Plot1,Y,10,control,100,one
p1s7,1,Plot1,Y,1,control,100,one
p1s8,1,Plot1,Y,0,control,100,one
p1s9,1,Plot1,Y,0,control,100,one
p1s10,1,Plot1,Y,16,control,100,one
p1s12,1,Plot1,Y,7,control,100,one
p1s1,1,Plot2,Y,14,exposed,100,one
p1s2,1,Plot2,Y,6,exposed,100,one
p1s3,1,Plot2,N,16,exposed,100,one
p1s4,1,Plot2,N,4,exposed,100,one
p1s5,1,Plot2,N,16,exposed,100,one
p1s6,1,Plot2,N,17,exposed,100,one
p1s7,1,Plot2,N,19,exposed,100,one
p1s8,1,Plot2,Y,17,exposed,100,one
p1s9,1,Plot2,N,17,exposed,100,one
p1s10,1,Plot2,N,13,exposed,100,one
p1s11,1,Plot2,N,18,exposed,100,one
p1s12,1,Plot2,Y,15,exposed,100,one
p1s1,1,Plot3,Y,3,exposed,60,one
p1s2,1,Plot3,N,12,exposed,60,one
p1s3,1,Plot3,Y,18,exposed,60,one
p1s4,1,Plot3,N,7,exposed,60,one
p1s5,1,Plot3,Y,2,exposed,60,one
p1s6,1,Plot3,N,9,exposed,60,one
p1s7,1,Plot3,N,15,exposed,60,one
p1s8,1,Plot3,N,4,exposed,60,one
p1s9,1,Plot3,N,16,exposed,60,one
p1s10,1,Plot3,N,14,exposed,60,one
p1s11,1,Plot3,Y,14,exposed,60,one
p1s12,1,Plot3,Y,14,exposed,60,one
p1s1,1,Plot4,Y,0,control,60,one
p1s2,1,Plot4,Y,4,control,60,one
p1s4,1,Plot4,Y,1,control,60,one
p1s5,1,Plot4,Y,0,control,60,one
p1s6,1,Plot4,Y,1,control,60,one
p1s7,1,Plot4,Y,0,control,60,one
p1s8,1,Plot4,Y,0,control,60,one
p1s9,1,Plot4,Y,2,control,60,one
p1s10,1,Plot4,Y,3,control,60,one
p1s11,1,Plot4,Y,1,control,60,one
p1s12,1,Plot4,Y,4,control,60,one
p1s2,1,Plot5,Y,0,control,30,one
p1s3,1,Plot5,Y,0,control,30,one
p1s4,1,Plot5,Y,2,control,30,one
p1s5,1,Plot5,Y,0,control,30,one
p1s6,1,Plot5,Y,0,control,30,one
p1s7,1,Plot5,Y,0,control,30,one
p1s8,1,Plot5,Y,0,control,30,one
p1s10,1,Plot5,Y,0,control,30,one
p1s1,1,Plot6,N,9,exposed,30,one
p1s2,1,Plot6,N,22,exposed,30,one
p1s3,1,Plot6,Y,0,exposed,30,one
p1s4,1,Plot6,N,22,exposed,30,one
p1s5,1,Plot6,N,0,exposed,30,one
p1s6,1,Plot6,N,15,exposed,30,one
p1s7,1,Plot6,N,10,exposed,30,one
p1s8,1,Plot6,N,17,exposed,30,one
p1s9,1,Plot6,N,15,exposed,30,one
p1s10,1,Plot6,Y,0,exposed,30,one
p1s11,1,Plot6,N,9,exposed,30,one
p1s12,1,Plot6,N,4,exposed,30,one
p1s1,1,Plot7,Y,0,control,30,two
p1s2,1,Plot7,Y,2,control,30,two
p1s3,1,Plot7,Y,1,control,30,two
p1s4,1,Plot7,Y,4,control,30,two
p1s5,1,Plot7,Y,0,control,30,two
p1s6,1,Plot7,Y,2,control,30,two
p1s8,1,Plot7,Y,4,control,30,two
p1s9,1,Plot7,Y,0,control,30,two
p1s11,1,Plot7,Y,1,control,30,two
p1s12,1,Plot7,Y,0,control,30,two
p1s1,1,Plot8,N,11,exposed,30,two
p1s2,1,Plot8,N,13,exposed,30,two
p1s3,1,Plot8,Y,7,exposed,30,two
p1s4,1,Plot8,N,12,exposed,30,two
p1s5,1,Plot8,Y,4,exposed,30,two
p1s6,1,Plot8,N,4,exposed,30,two
p1s7,1,Plot8,N,8,exposed,30,two
p1s8,1,Plot8,N,8,exposed,30,two
p1s9,1,Plot8,N,8,exposed,30,two
p1s10,1,Plot8,N,7,exposed,30,two
p1s11,1,Plot8,Y,0,exposed,30,two
p1s12,1,Plot8,N,6,exposed,30,two
p1s1,1,Plot9,N,23,exposed,100,two
p1s2,1,Plot9,N,25,exposed,100,two
p1s3,1,Plot9,N,17,exposed,100,two
p1s4,1,Plot9,N,14,exposed,100,two
p1s5,1,Plot9,N,15,exposed,100,two
p1s6,1,Plot9,N,13,exposed,100,two
p1s7,1,Plot9,N,20,exposed,100,two
p1s8,1,Plot9,N,14,exposed,100,two
p1s9,1,Plot9,N,11,exposed,100,two
p1s10,1,Plot9,N,16,exposed,100,two
p1s11,1,Plot9,N,8,exposed,100,two
p1s12,1,Plot9,N,16,exposed,100,two
p1s1,1,Plot10,Y,2,control,100,two
p1s3,1,Plot10,N,17,control,100,two
p1s4,1,Plot10,Y,1,control,100,two
p1s5,1,Plot10,Y,9,control,100,two
p1s6,1,Plot10,Y,11,control,100,two
p1s7,1,Plot10,Y,6,control,100,two
p1s8,1,Plot10,Y,2,control,100,two
p1s9,1,Plot10,Y,4,control,100,two
p1s10,1,Plot10,Y,3,control,100,two
p1s11,1,Plot10,Y,4,control,100,two
p1s12,1,Plot10,Y,1,control,100,two
p2s1,1,Plot11,Y,7,control,60,two
p2s2,1,Plot11,Y,4,control,60,two
p2s3,1,Plot11,Y,7,control,60,two
p2s4,1,Plot11,Y,5,control,60,two
p2s6,1,Plot11,Y,9,control,60,two
p2s7,1,Plot11,Y,2,control,60,two
p2s8,1,Plot11,Y,2,control,60,two
p2s9,1,Plot11,Y,16,control,60,two
p2s10,1,Plot11,Y,2,control,60,two
p2s11,1,Plot11,Y,0,control,60,two
p2s12,1,Plot11,Y,3,control,60,two
p2s1,1,Plot12,Y,5,exposed,60,two
p2s2,1,Plot12,N,14,exposed,60,two
p2s3,1,Plot12,N,10,exposed,60,two
p2s4,1,Plot12,N,2,exposed,60,two
p2s5,1,Plot12,Y,21,exposed,60,two
p2s6,1,Plot12,N,1,exposed,60,two
p2s7,1,Plot12,N,15,exposed,60,two
p2s8,1,Plot12,N,20,exposed,60,two
p2s9,1,Plot12,N,13,exposed,60,two
p2s10,1,Plot12,Y,6,exposed,60,two
p2s11,1,Plot12,Y,6,exposed,60,two
p2s12,1,Plot12,N,12,exposed,60,two
p2s1,1,Plot13,Y,12,control,60,three
p2s3,1,Plot13,Y,0,control,60,three
p2s4,1,Plot13,Y,0,control,60,three
p2s5,1,Plot13,Y,4,control,60,three
p2s6,1,Plot13,Y,0,control,60,three
p2s7,1,Plot13,Y,5,control,60,three
p2s8,1,Plot13,Y,12,control,60,three
p2s9,1,Plot13,Y,4,control,60,three
p2s10,1,Plot13,Y,0,control,60,three
p2s11,1,Plot13,Y,0,control,60,three
p2s12,1,Plot13,Y,0,control,60,three
p2s1,1,Plot14,Y,26,exposed,60,three
p2s2,1,Plot14,Y,0,exposed,60,three
p2s3,1,Plot14,N,22,exposed,60,three
